hospcode,SUM of total_result,SUM of total_target,provcode
4007,2565,614,
9192,3881,521,
10660,122596,18787,
10661,188451,30974,
10662,257622,38619,
10663,202499,33260,
10664,198843,34187,
10665,107397,18140,
10666,295755,46746,
10667,273283,51807,
10668,332701,55240,
10669,214023,34585,
10670,262356,47930,
10671,314481,64170,
10672,256753,48392,
10673,139647,24273,
10674,114715,23906,
10675,185796,33397,
10676,319916,41761,
10677,282854,39206,
10678,191979,30878,
10679,124408,20106,
10680,562023,65557,
10681,240690,38531,
10682,196222,31131,
10683,180681,31753,
10684,292550,39337,
10685,236955,38972,
10686,151067,20136,
10687,155126,25404,
10688,54449,7889,
10689,108930,15041,
10690,188185,30848,
10691,61515,8963,
10692,129075,15299,
10693,50035,7567,
10694,104164,17970,
10695,63723,8326,
10696,94459,13919,
10697,164499,26527,
10698,175042,23839,
10699,126732,19929,
10700,198735,36498,
10701,133909,26459,
10702,235742,36962,
10703,124184,19025,
10704,72615,16110,
10705,172574,31556,
10706,123112,22888,
10707,123725,27240,
10708,266369,49619,
10709,173436,32178,
10710,259242,29361,
10711,81350,16965,
10712,98650,20605,
10713,214766,39138,
10714,118423,22045,
10715,185818,30443,
10716,117438,23842,
10717,76697,18364,
10718,63064,11043,
10719,70489,9672,
10720,82577,13904,
10721,121584,22981,
10722,49719,11684,
10723,136446,19113,
10724,62970,12362,
10725,60902,11534,
10726,91998,17295,
10727,171028,23072,
10728,65276,9212,
10729,149382,23153,
10730,134454,17002,
10731,243920,38794,
10732,126264,16745,
10733,70205,10042,
10734,179239,32845,
10735,39102,6498,
10736,97360,17668,
10737,78956,11785,
10738,22660,5139,
10739,103255,13883,
10740,93820,12026,
10741,187401,28078,
10742,109933,15463,
10743,69427,11880,
10744,191987,28078,
10745,184551,28451,
10746,221271,28824,
10747,109355,20838,
10748,88705,15108,
10749,63753,9769,
10750,156255,22796,
10751,50574,9850,
10752,88740,11433,
10753,73377,11915,
10754,20917,4245,
10755,28154,3228,
10756,39030,4437,
10757,78393,9376,
10758,74956,6042,
10759,48133,6146,
10760,60507,8066,
10761,17988,2568,
10762,32506,4991,
10763,28285,3150,
10764,7891,1268,
10765,12997,1759,
10766,19965,2546,
10767,50593,5268,
10768,22814,2802,
10769,58359,7211,
10770,14519,1903,
10771,7689,1101,
10772,29095,4803,
10773,24838,2928,
10774,20463,2542,
10775,24478,2899,
10776,16665,2128,
10777,10298,1936,
10778,6360,874,
10779,29321,3609,
10780,11678,1409,
10781,5546,731,
10782,44882,4933,
10784,23468,2998,
10785,44183,6446,
10786,24352,3215,
10787,50965,8142,
10788,14457,1809,
10789,17671,3205,
10790,23919,4069,
10791,163069,17442,
10792,25151,3180,
10793,14280,2110,
10794,14766,1608,
10795,7597,1615,
10796,17197,2732,
10797,14199,2102,
10798,15320,2369,
10799,10059,1748,
10800,21565,2771,
10801,20400,2527,
10802,3523,1338,
10803,3677,1646,
10804,3046,991,
10805,12601,3742,
10806,5015,1677,
10807,61476,8143,
10808,14165,1725,
10809,9966,2067,
10810,15194,1934,
10811,3148,880,
10812,4508,676,
10813,2183,561,
10814,7966,1820,
10815,17390,2443,
10816,6872,1078,
10817,80366,12561,
10818,11048,1705,
10819,295993,41204,
10820,26301,3487,
10821,28739,5040,
10822,67075,11325,
10823,89026,12536,
10824,4327,634,
10825,45583,3485,
10826,32912,4996,
10827,55724,9359,
10828,24657,3102,
10829,107560,13781,
10830,10830,1697,
10831,16112,2408,
10832,52606,5942,
10833,17335,3121,
10834,12481,2279,
10835,5271,1436,
10836,8251,1412,
10837,5937,1062,
