id,hospcode,areacode,flag_sent,date_com,b_year,type_13,uc,sso,ofc,osm,ageing,child,disab,home,village,school,student,childcenter,caregiver,osk,opd,opd_visit,opd_pt,opd_pt_visit,ip
"8ec43f9ee8a5b450912a021b7b914f7e","09571","90111608","0","202206261257","2565","8160","4884","1837","540","63","1068","377","112",2359,5,4,0,1,0,0,8806,23233,1120,1984,"203.157.102.190"
"8ec43f9ee8a5b450912a021b7b914f7e","07483","65010703","0","202206251514","2565","9844","0","0","0","0","2419","419","5",5972,7,5,0,2,0,0,4812,16018,2319,6080,"203.157.102.165"
"8ec43f9ee8a5b450912a021b7b914f7e","07880","70020203","0","202206250138","2565","3160","1741","4","34","71","695","183","149",1077,6,3,0,0,0,0,2234,5476,477,814,"203.157.102.170"
"8ec43f9ee8a5b450912a021b7b914f7e","77524","30010100","0","202206261020","2565","1459","911","185","143","0","415","52","9",1051,10,2,0,0,0,0,1694,4093,797,1939,"203.157.102.130"
"8ec43f9ee8a5b450912a021b7b914f7e","28778","43170107","0","202206280441","2565","875","598","159","27","2","255","31","24",440,3,2,0,0,0,0,12650,41768,5483,13263,"203.157.102.143"
"8ec43f9ee8a5b450912a021b7b914f7e","08986","80230401","0","202206260659","2565","4286","2439","81","137","81","841","310","95",1386,3,4,0,0,0,0,3795,8197,860,2105,"203.157.102.180"
"8ec43f9ee8a5b450912a021b7b914f7e","15095","33220404","0","202206261727","2565","1808","1467","90","135","100","445","136","97",672,10,2,0,1,7,0,1814,6682,840,1696,"203.157.102.133"
"8ec43f9ee8a5b450912a021b7b914f7e","09572","90111801","0","202206261257","2565","8028","5120","1470","660","122","1651","200","158",2789,13,7,0,4,0,0,10599,24183,1641,3008,"203.157.102.190"
"8ec43f9ee8a5b450912a021b7b914f7e","02012","21080403","0","202206281053","2565","9028","5667","2826","307","150","1231","442","100",5003,7,2,0,2,0,0,7607,14255,1281,2583,"203.157.102.121"
"8ec43f9ee8a5b450912a021b7b914f7e","07478","65010307","0","202206251514","2565","7359","0","0","0","0","1349","483","67",3261,6,1,0,0,0,0,6182,16582,1436,3419,"203.157.102.165"
"8ec43f9ee8a5b450912a021b7b914f7e","02106","22090407","0","202206300541","2565","3415","2196","29","103","67","834","126","50",1158,8,2,0,0,0,0,2272,6843,973,2424,"203.157.102.122"
"8ec43f9ee8a5b450912a021b7b914f7e","23962","21080302","0","202206281053","2565","3406","1982","919","58","87","634","147","54",2587,6,10,0,0,0,0,57166,136586,15561,28056,"203.157.102.121"
"8ec43f9ee8a5b450912a021b7b914f7e","07136","61070306","0","202206300710","2565","5992","2716","211","73","124","1296","316","90",2218,11,5,0,0,0,0,6001,21208,1513,4596,"203.157.102.161"
"8ec43f9ee8a5b450912a021b7b914f7e","05138","45200406","0","202206270222","2565","2912","2151","69","187","122","881","145","82",1150,11,7,0,1,0,0,2450,9024,1495,3843,"203.157.102.145"
